---------------------------------
| rollout/           |          |
|    value_loss           | 0.0073      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 68.1        |
|    ep_rew_mean          | -438        |
| time/                   |             |
|    fps                  | 1371        |
|    iterations           | 8           |
|    time_elapsed         | 47          |
|    total_timesteps      | 742584      |
| train/                  |             |
|    approx_kl            | 0.032257043 |
|    clip_fraction        | 0.302       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.35       |
|    explained_variance   | 0.843       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0699     |
|    n_updates            | 3700        |
|    policy_gradient_loss | -0.0416     |
|    std                  | 0.341       |
|    value_loss           | 0.00665     |
-----------------------------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 56.1      |
|    ep_rew_mean     | -1.16e+03 |
| time/              |           |
|    fps             | 4042      |
|    iterations      | 1         |
|    time_elapsed    | 2         |
|    total_timesteps | 750776    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.1        |
|    ep_rew_mean          | -1.24e+03   |
| time/                   |             |
|    fps                  | 1942        |
|    iterations           | 2           |
|    time_elapsed         | 8           |
|    total_timesteps      | 758968      |
| train/                  |             |
|    approx_kl            | 0.035099983 |
|    clip_fraction        | 0.302       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.37       |
|    explained_variance   | 0.792       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0739     |
|    n_updates            | 3720        |
|    policy_gradient_loss | -0.0471     |
|    std                  | 0.342       |
|    value_loss           | 0.0508      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 58          |
|    ep_rew_mean          | -1.21e+03   |
| time/                   |             |
|    fps                  | 1640        |
|    iterations           | 3           |
|    time_elapsed         | 14          |
|    total_timesteps      | 767160      |
| train/                  |             |
|    approx_kl            | 0.033907972 |
|    clip_fraction        | 0.292       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.881       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.075      |
|    n_updates            | 3730        |
|    policy_gradient_loss | -0.0475     |
|    std                  | 0.343       |
|    value_loss           | 0.0769      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61          |
|    ep_rew_mean          | -1.24e+03   |
| time/                   |             |
|    fps                  | 1486        |
|    iterations           | 4           |
|    time_elapsed         | 22          |
|    total_timesteps      | 775352      |
| train/                  |             |
|    approx_kl            | 0.035432898 |
|    clip_fraction        | 0.295       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.905       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0164     |
|    n_updates            | 3740        |
|    policy_gradient_loss | -0.0473     |
|    std                  | 0.344       |
|    value_loss           | 0.0887      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 53.3       |
|    ep_rew_mean          | -1.1e+03   |
| time/                   |            |
|    fps                  | 1409       |
|    iterations           | 5          |
|    time_elapsed         | 29         |
|    total_timesteps      | 783544     |
| train/                  |            |
|    approx_kl            | 0.03445936 |
|    clip_fraction        | 0.301      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.41      |
|    explained_variance   | 0.894      |
|    learning_rate        | 5e-05      |
|    loss                 | -0.0642    |
|    n_updates            | 3750       |
|    policy_gradient_loss | -0.0492    |
|    std                  | 0.345      |
|    value_loss           | 0.0912     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.3        |
|    ep_rew_mean          | -1.15e+03   |
| time/                   |             |
|    fps                  | 1393        |
|    iterations           | 6           |
|    time_elapsed         | 35          |
|    total_timesteps      | 791736      |
| train/                  |             |
|    approx_kl            | 0.033974737 |
|    clip_fraction        | 0.298       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.899       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0528     |
|    n_updates            | 3760        |
|    policy_gradient_loss | -0.0461     |
|    std                  | 0.346       |
|    value_loss           | 0.0997      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.3        |
|    ep_rew_mean          | -1.16e+03   |
| time/                   |             |
|    fps                  | 1351        |
|    iterations           | 7           |
|    time_elapsed         | 42          |
|    total_timesteps      | 799928      |
| train/                  |             |
|    approx_kl            | 0.032499935 |
|    clip_fraction        | 0.288       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.864       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0252     |
|    n_updates            | 3770        |
|    policy_gradient_loss | -0.0451     |
|    std                  | 0.347       |
|    value_loss           | 0.119       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.6        |
|    ep_rew_mean          | -1.17e+03   |
| time/                   |             |
|    fps                  | 1336        |
|    iterations           | 8           |
|    time_elapsed         | 49          |
|    total_timesteps      | 808120      |
| train/                  |             |
|    approx_kl            | 0.033909246 |
|    clip_fraction        | 0.298       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.44       |
|    explained_variance   | 0.894       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0522     |
|    n_updates            | 3780        |
|    policy_gradient_loss | -0.0465     |
|    std                  | 0.349       |
|    value_loss           | 0.0855      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.9        |
|    ep_rew_mean          | -1.14e+03   |
| time/                   |             |
|    fps                  | 1326        |
|    iterations           | 9           |
|    time_elapsed         | 55          |
|    total_timesteps      | 816312      |
| train/                  |             |
|    approx_kl            | 0.032370865 |
|    clip_fraction        | 0.288       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.46       |
|    explained_variance   | 0.906       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0706     |
|    n_updates            | 3790        |
|    policy_gradient_loss | -0.0439     |
|    std                  | 0.35        |
|    value_loss           | 0.0866      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.1        |
|    ep_rew_mean          | -1.11e+03   |
| time/                   |             |
|    fps                  | 1321        |
|    iterations           | 10          |
|    time_elapsed         | 61          |
|    total_timesteps      | 824504      |
| train/                  |             |
|    approx_kl            | 0.032538086 |
|    clip_fraction        | 0.283       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.47       |
|    explained_variance   | 0.904       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0403     |
|    n_updates            | 3800        |
|    policy_gradient_loss | -0.0436     |
|    std                  | 0.351       |
|    value_loss           | 0.0835      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.2        |
|    ep_rew_mean          | -1.13e+03   |
| time/                   |             |
|    fps                  | 1317        |
|    iterations           | 11          |
|    time_elapsed         | 68          |
|    total_timesteps      | 832696      |
| train/                  |             |
|    approx_kl            | 0.032304198 |
|    clip_fraction        | 0.287       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.48       |
|    explained_variance   | 0.898       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0602     |
|    n_updates            | 3810        |
|    policy_gradient_loss | -0.0446     |
|    std                  | 0.352       |
|    value_loss           | 0.0857      |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 54.1     |
|    ep_rew_mean     | -527     |
| time/              |          |
|    fps             | 4116     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 840888   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.4        |
|    ep_rew_mean          | -507        |
| time/                   |             |
|    fps                  | 1928        |
|    iterations           | 2           |
|    time_elapsed         | 8           |
|    total_timesteps      | 849080      |
| train/                  |             |
|    approx_kl            | 0.035287786 |
|    clip_fraction        | 0.301       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.5        |
|    explained_variance   | 0.728       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0763     |
|    n_updates            | 3830        |
|    policy_gradient_loss | -0.0491     |
|    std                  | 0.354       |
|    value_loss           | 0.0738      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.1        |
|    ep_rew_mean          | -501        |
| time/                   |             |
|    fps                  | 1601        |
|    iterations           | 3           |
|    time_elapsed         | 15          |
|    total_timesteps      | 857272      |
| train/                  |             |
|    approx_kl            | 0.034213476 |
|    clip_fraction        | 0.294       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.52       |
|    explained_variance   | 0.824       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0793     |
|    n_updates            | 3840        |
|    policy_gradient_loss | -0.0496     |
|    std                  | 0.355       |
|    value_loss           | 0.0362      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.6        |
|    ep_rew_mean          | -560        |
| time/                   |             |
|    fps                  | 1400        |
|    iterations           | 4           |
|    time_elapsed         | 23          |
|    total_timesteps      | 865464      |
| train/                  |             |
|    approx_kl            | 0.033756837 |
|    clip_fraction        | 0.295       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.53       |
|    explained_variance   | 0.878       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0942     |
|    n_updates            | 3850        |
|    policy_gradient_loss | -0.0509     |
|    std                  | 0.355       |
|    value_loss           | 0.0225      |
-----------------------------------------
[long-eval] new best min_robot_dx=-0.421 saved to RL\KNP\sb3_ppo_curriculum_best_long_human_like_phase_refined6.zip
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.2        |
|    ep_rew_mean          | -482        |
| time/                   |             |
|    fps                  | 1272        |
|    iterations           | 5           |
|    time_elapsed         | 32          |
|    total_timesteps      | 873656      |
| train/                  |             |
|    approx_kl            | 0.033653475 |
|    clip_fraction        | 0.294       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.53       |
|    explained_variance   | 0.869       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0968     |
|    n_updates            | 3860        |
|    policy_gradient_loss | -0.0493     |
|    std                  | 0.355       |
|    value_loss           | 0.0233      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 52.2       |
|    ep_rew_mean          | -501       |
| time/                   |            |
|    fps                  | 1199       |
|    iterations           | 6          |
|    time_elapsed         | 40         |
|    total_timesteps      | 881848     |
| train/                  |            |
|    approx_kl            | 0.03528239 |
|    clip_fraction        | 0.3        |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.54      |
|    explained_variance   | 0.889      |
|    learning_rate        | 5e-05      |
|    loss                 | -0.0846    |
|    n_updates            | 3870       |
|    policy_gradient_loss | -0.0471    |
|    std                  | 0.357      |
|    value_loss           | 0.0184     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.4        |
|    ep_rew_mean          | -537        |
| time/                   |             |
|    fps                  | 1159        |
|    iterations           | 7           |
|    time_elapsed         | 49          |
|    total_timesteps      | 890040      |
| train/                  |             |
|    approx_kl            | 0.036280066 |
|    clip_fraction        | 0.302       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.55       |
|    explained_variance   | 0.879       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0705     |
|    n_updates            | 3880        |
|    policy_gradient_loss | -0.0469     |
|    std                  | 0.358       |
|    value_loss           | 0.0162      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.6        |
|    ep_rew_mean          | -502        |
| time/                   |             |
|    fps                  | 1144        |
|    iterations           | 8           |
|    time_elapsed         | 57          |
|    total_timesteps      | 898232      |
| train/                  |             |
|    approx_kl            | 0.034578446 |
|    clip_fraction        | 0.305       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.56       |
|    explained_variance   | 0.888       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0821     |
|    n_updates            | 3890        |
|    policy_gradient_loss | -0.0476     |
|    std                  | 0.358       |
|    value_loss           | 0.017       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54          |
|    ep_rew_mean          | -522        |
| time/                   |             |
|    fps                  | 1134        |
|    iterations           | 9           |
|    time_elapsed         | 64          |
|    total_timesteps      | 906424      |
| train/                  |             |
|    approx_kl            | 0.033786785 |
|    clip_fraction        | 0.29        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.57       |
|    explained_variance   | 0.888       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0797     |
|    n_updates            | 3900        |
|    policy_gradient_loss | -0.0461     |
|    std                  | 0.36        |
|    value_loss           | 0.0154      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.6        |
|    ep_rew_mean          | -521        |
| time/                   |             |
|    fps                  | 1129        |
|    iterations           | 10          |
|    time_elapsed         | 72          |
|    total_timesteps      | 914616      |
| train/                  |             |
|    approx_kl            | 0.033363696 |
|    clip_fraction        | 0.283       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.59       |
|    explained_variance   | 0.871       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0819     |
|    n_updates            | 3910        |
|    policy_gradient_loss | -0.0451     |
|    std                  | 0.362       |
|    value_loss           | 0.0187      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.6        |
|    ep_rew_mean          | -481        |
| time/                   |             |
|    fps                  | 1121        |
|    iterations           | 11          |
|    time_elapsed         | 80          |
|    total_timesteps      | 922808      |
| train/                  |             |
|    approx_kl            | 0.033049714 |
|    clip_fraction        | 0.293       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | 0.868       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0885     |
|    n_updates            | 3920        |
|    policy_gradient_loss | -0.0443     |
|    std                  | 0.362       |
|    value_loss           | 0.0183      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50.6       |
|    ep_rew_mean          | -486       |
| time/                   |            |
|    fps                  | 1116       |
|    iterations           | 12         |
|    time_elapsed         | 88         |
|    total_timesteps      | 931000     |
| train/                  |            |
|    approx_kl            | 0.03317636 |
|    clip_fraction        | 0.286      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.61      |
|    explained_variance   | 0.888      |
|    learning_rate        | 5e-05      |
|    loss                 | -0.0777    |
|    n_updates            | 3930       |
|    policy_gradient_loss | -0.0441    |
|    std                  | 0.364      |
|    value_loss           | 0.0119     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 50.6      |
|    ep_rew_mean          | -485      |
| time/                   |           |
|    fps                  | 1115      |
|    iterations           | 13        |
|    time_elapsed         | 95        |
|    total_timesteps      | 939192    |
| train/                  |           |
|    approx_kl            | 0.0336288 |
|    clip_fraction        | 0.286     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.63     |
|    explained_variance   | 0.888     |
|    learning_rate        | 5e-05     |
|    loss                 | -0.104    |
|    n_updates            | 3940      |
|    policy_gradient_loss | -0.0435   |
|    std                  | 0.366     |
|    value_loss           | 0.0142    |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 53.4       |
|    ep_rew_mean          | -510       |
| time/                   |            |
|    fps                  | 1115       |
|    iterations           | 14         |
|    time_elapsed         | 102        |
|    total_timesteps      | 947384     |
| train/                  |            |
|    approx_kl            | 0.03370457 |
|    clip_fraction        | 0.295      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.65      |
|    explained_variance   | 0.897      |
|    learning_rate        | 5e-05      |
|    loss                 | -0.075     |
|    n_updates            | 3950       |
|    policy_gradient_loss | -0.0444    |
|    std                  | 0.368      |
|    value_loss           | 0.0136     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47.2        |
|    ep_rew_mean          | -460        |
| time/                   |             |
|    fps                  | 1111        |
|    iterations           | 15          |
|    time_elapsed         | 110         |
|    total_timesteps      | 955576      |
| train/                  |             |
|    approx_kl            | 0.032601815 |
|    clip_fraction        | 0.286       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.68       |
|    explained_variance   | 0.883       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0932     |
|    n_updates            | 3960        |
|    policy_gradient_loss | -0.0453     |
|    std                  | 0.37        |
|    value_loss           | 0.0132      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 51.2        |
|    ep_rew_mean          | -489        |
| time/                   |             |
|    fps                  | 1110        |
|    iterations           | 16          |
|    time_elapsed         | 118         |
|    total_timesteps      | 963768      |
| train/                  |             |
|    approx_kl            | 0.031914014 |
|    clip_fraction        | 0.287       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.69       |
|    explained_variance   | 0.891       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0963     |
|    n_updates            | 3970        |
|    policy_gradient_loss | -0.0438     |
|    std                  | 0.371       |
|    value_loss           | 0.0124      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 51.9        |
|    ep_rew_mean          | -500        |
| time/                   |             |
|    fps                  | 1106        |
|    iterations           | 17          |
|    time_elapsed         | 125         |
|    total_timesteps      | 971960      |
| train/                  |             |
|    approx_kl            | 0.031042356 |
|    clip_fraction        | 0.28        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.71       |
|    explained_variance   | 0.908       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0852     |
|    n_updates            | 3980        |
|    policy_gradient_loss | -0.0463     |
|    std                  | 0.373       |
|    value_loss           | 0.011       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.8        |
|    ep_rew_mean          | -533        |
| time/                   |             |
|    fps                  | 1104        |
|    iterations           | 18          |
|    time_elapsed         | 133         |
|    total_timesteps      | 980152      |
| train/                  |             |
|    approx_kl            | 0.033168156 |
|    clip_fraction        | 0.29        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.72       |
|    explained_variance   | 0.863       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0951     |
|    n_updates            | 3990        |
|    policy_gradient_loss | -0.0437     |
|    std                  | 0.374       |
|    value_loss           | 0.0165      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 51          |
|    ep_rew_mean          | -488        |
| time/                   |             |
|    fps                  | 1096        |
|    iterations           | 19          |
|    time_elapsed         | 141         |
|    total_timesteps      | 988344      |
| train/                  |             |
|    approx_kl            | 0.030457038 |
|    clip_fraction        | 0.279       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.74       |
|    explained_variance   | 0.885       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0896     |
|    n_updates            | 4000        |
|    policy_gradient_loss | -0.0445     |
|    std                  | 0.376       |
|    value_loss           | 0.013       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 51.9        |
|    ep_rew_mean          | -497        |
| time/                   |             |
|    fps                  | 1093        |
|    iterations           | 20          |
|    time_elapsed         | 149         |
|    total_timesteps      | 996536      |
| train/                  |             |
|    approx_kl            | 0.032952644 |
|    clip_fraction        | 0.287       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.76       |
|    explained_variance   | 0.874       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0686     |
|    n_updates            | 4010        |
|    policy_gradient_loss | -0.0463     |
|    std                  | 0.378       |
|    value_loss           | 0.0139      |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 55.3     |
|    ep_rew_mean     | -532     |
| time/              |          |
|    fps             | 4370     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 1004728  |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 48.5       |
|    ep_rew_mean          | -467       |
| time/                   |            |
|    fps                  | 1718       |
|    iterations           | 2          |
|    time_elapsed         | 9          |
|    total_timesteps      | 1012920    |
| train/                  |            |
|    approx_kl            | 0.03346556 |
|    clip_fraction        | 0.293      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.79      |
|    explained_variance   | 0.845      |
|    learning_rate        | 5e-05      |
|    loss                 | -0.0904    |
|    n_updates            | 4030       |
|    policy_gradient_loss | -0.0481    |
|    std                  | 0.381      |
|    value_loss           | 0.0197     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.5        |
|    ep_rew_mean          | -482        |
| time/                   |             |
|    fps                  | 1414        |
|    iterations           | 3           |
|    time_elapsed         | 17          |
|    total_timesteps      | 1021112     |
| train/                  |             |
|    approx_kl            | 0.033155277 |
|    clip_fraction        | 0.29        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.895       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.111      |
|    n_updates            | 4040        |
|    policy_gradient_loss | -0.0472     |
|    std                  | 0.382       |
|    value_loss           | 0.0115      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 48.6        |
|    ep_rew_mean          | -472        |
| time/                   |             |
|    fps                  | 1283        |
|    iterations           | 4           |
|    time_elapsed         | 25          |
|    total_timesteps      | 1029304     |
| train/                  |             |
|    approx_kl            | 0.030116703 |
|    clip_fraction        | 0.287       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | 0.873       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0844     |
|    n_updates            | 4050        |
|    policy_gradient_loss | -0.044      |
|    std                  | 0.383       |
|    value_loss           | 0.0133      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 53.6       |
|    ep_rew_mean          | -506       |
| time/                   |            |
|    fps                  | 1209       |
|    iterations           | 5          |
|    time_elapsed         | 33         |
|    total_timesteps      | 1037496    |
| train/                  |            |
|    approx_kl            | 0.03061044 |
|    clip_fraction        | 0.279      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.82      |
|    explained_variance   | 0.889      |
|    learning_rate        | 5e-05      |
|    loss                 | -0.0924    |
|    n_updates            | 4060       |
|    policy_gradient_loss | -0.044     |
|    std                  | 0.383      |
|    value_loss           | 0.0141     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.3        |
|    ep_rew_mean          | -569        |
| time/                   |             |
|    fps                  | 1169        |
|    iterations           | 6           |
|    time_elapsed         | 42          |
|    total_timesteps      | 1045688     |
| train/                  |             |
|    approx_kl            | 0.033087865 |
|    clip_fraction        | 0.283       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.856       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0885     |
|    n_updates            | 4070        |
|    policy_gradient_loss | -0.0478     |
|    std                  | 0.385       |
|    value_loss           | 0.0136      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.3        |
|    ep_rew_mean          | -500        |
| time/                   |             |
|    fps                  | 1144        |
|    iterations           | 7           |
|    time_elapsed         | 50          |
|    total_timesteps      | 1053880     |
| train/                  |             |
|    approx_kl            | 0.031122793 |
|    clip_fraction        | 0.275       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.817       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.087      |
|    n_updates            | 4080        |
|    policy_gradient_loss | -0.0465     |
|    std                  | 0.386       |
|    value_loss           | 0.0241      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47.3        |
|    ep_rew_mean          | -452        |
| time/                   |             |
|    fps                  | 1126        |
|    iterations           | 8           |
|    time_elapsed         | 58          |
|    total_timesteps      | 1062072     |
| train/                  |             |
|    approx_kl            | 0.031544536 |
|    clip_fraction        | 0.282       |
|    clip_range           | 0.2         |
